INFO:root:Shortcut already exists.
DEBUG:filelock:Attempting to acquire lock 2717035035584 on app.lock
DEBUG:filelock:Lock 2717035035584 acquired on app.lock
DEBUG:schedule:Running job Job(interval=5, unit=minutes, do=take_screenshot, args=(), kwargs={})
DEBUG:urllib3.connectionpool:https://api.cloudinary.com:443 "POST /v1_1/du0vb79mg/image/upload HTTP/11" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): smapi.mezzex.com:443
DEBUG:urllib3.connectionpool:https://smapi.mezzex.com:443 "POST /api/Data/saveScreenCaptureData HTTP/11" 404 None
INFO:root:Shortcut already exists.
DEBUG:filelock:Attempting to acquire lock 2509594266080 on app.lock
DEBUG:filelock:Lock 2509594266080 acquired on app.lock
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): smapi.mezzex.com:443
DEBUG:urllib3.connectionpool:https://smapi.mezzex.com:443 "POST /api/AccountApi/login HTTP/11" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): smapi.mezzex.com:443
DEBUG:urllib3.connectionpool:https://smapi.mezzex.com:443 "GET /api/Data/getStaffInTime?userId=3 HTTP/11" 404 None
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 217
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): smapi.mezzex.com:443
DEBUG:urllib3.connectionpool:https://smapi.mezzex.com:443 "GET /api/Data/getTasks HTTP/11" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): smapi.mezzex.com:443
DEBUG:urllib3.connectionpool:https://smapi.mezzex.com:443 "GET /api/Data/getTaskTimers?userId=3 HTTP/11" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): smapi.mezzex.com:443
DEBUG:urllib3.connectionpool:https://smapi.mezzex.com:443 "GET /api/Data/getUserCompletedTasks?userId=3 HTTP/11" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 216
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 216
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 216
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 214
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 214
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 215
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 214
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 216
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 215
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 214
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 216
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 216
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 215
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 216
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 215
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 216
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 216
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 215
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 216
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 216
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 217
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 213
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 215
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 214
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 214
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 215
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 213
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 215
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 215
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 214
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 213
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 215
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 215
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 216
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 216
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 216
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 215
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 216
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 214
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 215
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 216
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 215
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 213
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 216
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 213
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 216
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 215
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 215
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 216
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 216
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 214
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 216
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 215
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 217
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 216
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 215
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 214
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 214
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 216
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 216
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 216
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 215
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 216
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 214
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 215
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 215
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 215
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 215
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 214
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 216
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 216
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 214
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 212
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 210
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 215
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 216
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 216
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 215
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 215
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 216
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 213
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 216
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 214
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 215
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 216
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 216
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 216
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 215
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 215
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 214
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 215
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 214
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 215
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 215
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 214
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 217
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 215
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 214
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 213
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 213
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 216
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 215
INFO:root:Shortcut already exists.
DEBUG:filelock:Attempting to acquire lock 1811818041744 on app.lock
DEBUG:filelock:Lock 1811818041744 acquired on app.lock
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): smapi.mezzex.com:443
DEBUG:urllib3.connectionpool:https://smapi.mezzex.com:443 "POST /api/AccountApi/login HTTP/11" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): smapi.mezzex.com:443
DEBUG:urllib3.connectionpool:https://smapi.mezzex.com:443 "GET /api/Data/getStaffInTime?userId=3 HTTP/11" 404 None
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 216
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): smapi.mezzex.com:443
DEBUG:urllib3.connectionpool:https://smapi.mezzex.com:443 "GET /api/Data/getTasks HTTP/11" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): smapi.mezzex.com:443
DEBUG:urllib3.connectionpool:https://smapi.mezzex.com:443 "GET /api/Data/getTaskTimers?userId=3 HTTP/11" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTPS connection (1): smapi.mezzex.com:443
DEBUG:urllib3.connectionpool:https://smapi.mezzex.com:443 "GET /api/Data/getUserCompletedTasks?userId=3 HTTP/11" 200 None
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 214
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 215
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 215
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 213
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 214
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 214
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
DEBUG:urllib3.connectionpool:http://worldtimeapi.org:80 "GET /api/timezone/Etc/UTC HTTP/11" 200 214
DEBUG:urllib3.connectionpool:Starting new HTTP connection (1): worldtimeapi.org:80
